Date,Open,High,Low,Close,Volume
2022-10-10,29419.09,29485.82,29010.41,29202.88,318747441
2022-10-11,29085.2,29608.42,29074.23,29239.19,358851780
2022-10-12,29233.06,29455.12,29136.03,29210.85,307202072
2022-10-13,28755.83,30168.54,28660.94,30038.72,473098183
2022-10-14,30192.21,30428.82,29614.3,29634.83,381327903
2022-10-17,30059.58,30311.95,29997.62,30185.82,374729563
2022-10-18,30786.08,30837.9,30301.83,30523.8,391159153
2022-10-19,30439.04,30662.11,30226.9,30423.81,316118359
2022-10-20,30411.92,30822.96,30265.2,30333.59,333692781
2022-10-21,30291.18,31119.27,30206.28,31082.56,421214048
2022-10-24,31187.32,31603.63,31161.41,31499.62,345945262
2022-10-25,31463.65,31876.15,31423.53,31836.74,346983953
2022-10-26,31738.44,32172.42,31738.44,31839.11,431510104
2022-10-27,32062.14,32388.42,31993.21,32033.28,401358880
2022-10-28,32204.31,32889.81,32158.38,32861.8,500050199
2022-10-31,32754.27,32883.86,32586.93,32732.95,394319372
2022-11-01,32862.79,32975.48,32485.23,32653.2,326322368
2022-11-02,32576.28,33071.93,32139.77,32147.76,401208174
2022-11-03,31985.05,32185.71,31727.05,32001.25,358446783
2022-11-04,32265.01,32611.52,31938.92,32403.22,425633665
2022-11-07,32454.1,32895.59,32424.99,32827,341443491
2022-11-08,32934.56,33355.39,32831.46,33160.83,351177274
2022-11-09,33004.47,33065.11,32478.87,32513.94,361977695
2022-11-10,33263.91,33727.73,33167.82,33715.37,489082224
2022-11-11,33797.75,33817.96,33394.43,33747.86,432067718
2022-11-14,33662.05,33964.3,33533.96,33536.7,360481719
2022-11-15,33755.94,33987.06,33320.2,33592.92,392251317
2022-11-16,33554.93,33682.83,33516.99,33553.83,305861935
2022-11-17,33329.27,33616.02,33239.75,33546.32,321993147
2022-11-18,33606.59,33827.94,33540.64,33745.69,314808240
2022-11-21,33760.3,33864.59,33559.18,33700.28,353729034
2022-11-22,33810.05,34115.7,33810.05,34098.1,279856397
2022-11-23,34091.57,34262.07,34004.64,34194.06,237182894
2022-11-25,34213.04,34386.51,34199.57,34347.03,132181690
2022-11-28,34275.91,34303.88,33799.35,33849.46,303537409
2022-11-29,33847.8,33933.91,33662.45,33852.53,283093962
2022-11-30,33795.43,34589.77,33583.77,34589.77,554100958
2022-12-01,34533.59,34595.51,34129.35,34395.01,349874246
2022-12-02,34265.45,34483.21,34039.73,34429.88,291280437
2022-12-05,34335.73,34335.73,33846.81,33947.1,316730600
2022-12-06,33936.87,34006.63,33418.59,33596.34,308065247
2022-12-07,33556.4,33774.27,33503.67,33597.92,295575359
2022-12-08,33695.97,33899.17,33642.46,33781.48,273082104
2022-12-09,33746.71,33844.63,33462.65,33476.46,292806940
2022-12-12,33519.5,34005.04,33519.5,34005.04,321450940
2022-12-13,34268.44,34712.28,33890.88,34108.64,446557733
2022-12-14,34086.07,34395.65,33704.17,33966.35,345706520
2022-12-15,33773,33773,33016.16,33202.22,395761061
2022-12-16,33166.46,33166.46,32654.59,32920.46,789267239
2022-12-19,32921.45,33038.94,32581.97,32757.54,330825543
2022-12-20,32735.24,32992.23,32649.45,32849.74,309631994
2022-12-21,33028.09,33437.84,33028.09,33376.48,328388241
2022-12-22,33233.35,33233.35,32573.43,33027.49,342509235
2022-12-23,32961.06,33226.14,32814.02,33203.93,221932148
2022-12-27,33224.23,33387.72,33069.58,33241.56,247056048
2022-12-28,33264.76,33379.55,32869.15,32875.71,254988084
